portfolio,scenario,hour,highs_load_shed_mw,gurobi_load_shed_mw,abs_diff_mw,thermal_avail_mw,vre_output_mw,load_mw,highs_storage_discharge_mw,highs_storage_charge_mw,highs_soc_mwh,gurobi_storage_discharge_mw,gurobi_storage_charge_mw,gurobi_soc_mwh,window_start,window_end,inside_window,dispute_type
VRE120_base,5,5061,596.9372664000002,0.0,596.9372664000002,6861.0,156.60000000000002,7614.537266400001,0.0,0.0,88.47289645814968,596.9372664000002,0.0,0.0,4146,6260,true,HiGHS_only
VRE120_base,5,5062,0.0,83.93275919999905,83.93275919999905,6861.0,156.29999999999998,7101.232759199999,83.93275919999905,0.0,0.0,0.0,0.0,0.0,4146,6260,true,Gurobi_only
VRE120_base,5,5414,0.0,242.5115688653757,242.5115688653757,7415.0,1408.7,9394.130548799998,570.4305487999982,0.0,3330.713406284059,327.9189799346225,0.0,3586.3430451358468,4146,6260,true,Gurobi_only
VRE120_base,5,5725,0.0,159.40802879999865,159.40802879999865,7251.0,1861.2000000000003,9271.6080288,159.40802879999865,0.0,3763.9691838914287,0.0,0.0,3932.0,4146,6260,true,Gurobi_only
VRE120_base,5,5726,0.0,240.3629768653776,240.3629768653776,7251.0,1960.6,9630.816713999999,419.2167139999983,0.0,3322.0759674076317,178.85373713462073,0.0,3743.4716075405204,4146,6260,true,Gurobi_only
VRE120_base,5,5732,399.7710056653759,0.0,399.7710056653759,7251.0,533.9000000000001,8241.682212,57.01120633462414,0.0,0.0,456.7822120000001,0.0,0.0,4146,6260,true,HiGHS_only
VRE120_base,6,5394,0.0,642.7253740653803,642.7253740653803,7025.0,473.30000000000007,8384.8064328,886.5064327999999,0.0,721.1100789966414,243.7810587346196,0.0,1602.686241366761,4074,6258,true,Gurobi_only
VRE120_base,6,5395,836.3365812000002,0.0,836.3365812000002,7025.0,278.5,8139.8365812,0.0,0.0,721.1100789966414,836.3365812000002,0.0,721.1100789966414,4074,6258,true,HiGHS_only
VRE120_base,6,5420,0.0,386.15677199999936,386.15677199999936,7081.0,584.0,8051.156771999999,386.15677199999936,0.0,0.0,0.0,0.0,0.0,4074,6258,true,Gurobi_only
VRE120_base,6,5438,0.0,66.51405319999958,66.51405319999958,7046.0,1868.3000000000002,8980.8140532,66.51405319999958,0.0,3861.88803182613,0.0,0.0,3932.0,4074,6258,true,Gurobi_only
