portfolio,case_label,method,paper_name,N,seed,delta_mw,eue_base_mwh,eue_storage_increment_mwh,eue_firm_increment_mwh,delta_eue_storage,delta_eue_firm,cc,cc_bootstrap_mean,cc_ci_lo,cc_ci_hi,denom_ci_lo,denom_ci_hi,denominator_status,n_bootstrap_valid,n_bootstrap_total,calibration_version,cyclic_soc_frac,code_commit
VRE120_base,Balanced VRE,M2,Event-window storage MCS,100,42,1.0,2703.1350159549856,2696.209141340446,2689.2537963016784,6.92587461453968,13.881219653307198,0.4989384785716284,0.49902681254210707,0.4905165533866429,0.5082828588314213,11.080784464891348,16.764885302307547,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,200,42,1.0,3179.664800492754,3172.0356040059837,3164.3409338901006,7.62919648677007,15.323866602653197,0.49786367139538656,0.4980187837684697,0.4900268354648452,0.5061683842586996,13.381926776385,17.352031868168,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,500,42,1.0,3237.0355269391307,3229.322506519082,3221.5826637774157,7.713020420048906,15.452863161714959,0.49913212453457817,0.4991181084754284,0.4945448932704931,0.5037853007301839,14.193188926211645,16.79678993741094,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,1000,42,1.0,3205.9507303835117,3198.3787472321937,3190.7659117820003,7.571983151317909,15.184818601511324,0.4986548308561473,0.4987089722693358,0.4952839271390141,0.5021035656170688,14.287745654789843,16.112019383061376,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,20,42,5.0,2479.1695846344096,2445.9656692026415,2412.58250405441,33.20391543176811,66.58708057999957,0.49865402030767825,0.4993632098284966,0.482380878449503,0.5216215973902615,37.995927014500005,98.84768460900052,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,50,42,5.0,2888.524358517524,2852.4535846442095,2816.3986321309094,36.070773873314465,72.12572638661459,0.5001096790341462,0.5003839582658434,0.49064321838478464,0.5113158216634704,52.689624602749646,94.5664839172475,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,100,42,5.0,2703.1350159549856,2668.8832661697725,2634.593669320371,34.25174978521318,68.54134663461446,0.4997239107046594,0.4998143247912367,0.49087830726867815,0.5089654096653488,54.934710555919715,82.75966969058187,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,200,42,5.0,3179.664800492754,3141.803776237602,3103.8456414544657,37.86102425515173,75.81915903828803,0.4993595911032492,0.49952311985774006,0.49133038330800827,0.5078421487740201,66.2404003803835,85.81296976485046,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,500,42,5.0,3237.0355269391307,3198.829640663237,3160.777145807891,38.20588627589359,76.25838113123973,0.5010057348338111,0.5009773825984948,0.4961974333004807,0.5058155394690762,70.1693573851358,82.77620376379684,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,1000,42,5.0,3205.9507303835117,3168.4425686157756,3131.0170494976755,37.508161767736055,74.93368088583611,0.5005514386098416,0.5005952692401756,0.4969097706493939,0.5042074103564705,70.49502950552362,79.55325522069107,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,20,42,10.0,2479.1695846344096,2412.7617537708734,2346.605048131141,66.40783086353622,132.56453650326876,0.5009471810124629,0.5018793621448582,0.48349822626723443,0.5259941716468741,74.95378464270092,197.07373228493222,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,50,42,10.0,2888.524358517524,2816.7830926375104,2745.2263233029867,71.74126588001354,143.29803521453732,0.5006437511345272,0.5009704967415116,0.49032827692525327,0.5129514199606817,104.46651522567217,188.12910934766785,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,100,42,10.0,2703.1350159549856,2635.043589373741,2566.965854401756,68.09142658124483,136.16916155322951,0.5000502742658616,0.5001400985776583,0.4908959610727077,0.5101877230886146,109.00235213558085,164.4292444463843,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,200,42,10.0,3179.664800492754,3104.3740700535445,3029.66513299789,75.29073043920926,149.99966749486384,0.5019393155773981,0.5021277407211229,0.49331522294532715,0.5112482652622524,130.77550309695118,169.9834558156429,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,500,42,10.0,3237.0355269391307,3161.113238522805,3086.2912892350228,75.9222884163255,150.74423770410795,0.5036496888547836,0.5036056238177501,0.4985061156054826,0.5087553840640061,138.57551374349893,163.8210019307562,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,1000,42,10.0,3205.9507303835117,3131.4858149099846,3057.862948499273,74.46491547352707,148.08778188423867,0.502843074060876,0.5028990357859995,0.4990236566965146,0.5066818121348551,139.18243707277833,157.3534185584998,identified,2000,2000,N/A,NaN,c88914a
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,20,42,1.0,7160.637802265563,7157.582761369381,7136.773089604855,3.0550408961817084,23.864712660707482,0.1280149876353525,0.12795014128254623,0.11437533144574773,0.1408685698673627,20.714712660708756,27.19999999999984,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,50,42,1.0,7899.689218153088,7896.302328904522,7874.067333088804,3.386889248566149,25.62188506428447,0.13218735624129743,0.13204479357319443,0.12347035777861651,0.14118212208145586,23.135894253213724,28.396294253216592,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,100,42,1.0,7816.087050023755,7812.746248172162,7790.524844158604,3.3408018515929143,25.562205865151554,0.13069301879566517,0.1306450134603133,0.12437312779713933,0.1371722914715246,23.870053876290466,27.33510514662794,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,200,42,1.0,8263.208289199714,8259.674342829674,8236.858235492258,3.533946370040212,26.350053707456027,0.13411533840783954,0.13401209003122916,0.12983272676798713,0.13824445597062573,25.03387134928589,27.72799188259251,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,500,42,1.0,8393.830760231045,8390.22541971418,8367.186472024296,3.6053405168659083,26.64428820674948,0.1353138236942134,0.13531945031778486,0.13276045197877268,0.13787758539057424,25.772083137705316,27.549089822483577,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,1000,42,1.0,8265.787144775255,8262.243759546855,8239.483836930514,3.543385228400439,26.30330784474063,0.1347125330895955,0.1347077914034407,0.13284217331540374,0.1365947772083483,25.656264342549367,26.938330117655504,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
