model,case,scenario_id,lolh,eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,runtime_s
M1b,VRE120_base,10,63.0,16888.535468032664,928.415178799999,21,3.0,0.0
M1b,VRE120_base,11,107.0,38192.926862832646,1102.4009067999987,25,4.28,0.0
M1b,VRE120_base,12,66.0,17119.317578432667,714.837098,20,3.3,0.0
M1b,VRE120_base,13,74.0,20795.239627632654,894.5298223999998,23,3.217391304347826,0.0
M1b,VRE120_base,14,51.0,15643.986882032672,778.5207527999992,15,3.4,0.0
M1b,VRE120_base,15,85.0,40808.88215643266,1552.4009067999987,20,4.25,0.0
M1b,VRE120_base,16,78.0,20306.81233763266,1028.5298223999998,25,3.12,0.0
M1b,VRE120_base,17,50.0,11868.452323632662,628.4009067999987,14,3.5714285714285716,0.0
M1b,VRE120_base,18,95.0,32157.662924032662,1152.3098683999997,25,3.8,0.0
M1b,VRE120_base,19,80.0,24914.821059232658,831.6539771999996,18,4.444444444444445,0.0
M1b,VRE120_base,20,98.0,27699.07083643265,921.9917112000003,31,3.161290322580645,0.0
M1,VRE120_wind_hvy,1,49.0,14628.051111999986,963.5103431999987,19,2.5789473684210527,0.0
M1,VRE120_wind_hvy,2,70.0,20296.354095999974,957.2009067999988,24,2.9166666666666665,0.0
M1,VRE120_wind_hvy,3,64.0,18790.931141999976,869.5393583999994,20,3.2,0.0
M1,VRE120_wind_hvy,4,76.0,23930.226200799963,1170.3002639999995,29,2.6206896551724137,0.0
M1,VRE120_wind_hvy,5,77.0,28366.462050799964,1212.2009067999988,27,2.8518518518518516,0.0
M1,VRE120_wind_hvy,6,62.0,25375.687206399976,1322.3098683999997,19,3.263157894736842,0.0
M1,VRE120_wind_hvy,7,53.0,16674.47596079998,797.2009067999988,18,2.9444444444444446,0.0
M1,VRE120_wind_hvy,8,46.0,12729.834394799978,732.2009067999988,17,2.7058823529411766,0.0
M1,VRE120_wind_hvy,9,34.0,7325.049348799987,640.93624,13,2.6153846153846154,0.0
M1,VRE120_wind_hvy,10,39.0,8240.910919199983,704.6151787999988,14,2.7857142857142856,0.0
M1,VRE120_wind_hvy,11,65.0,22093.01744999997,1012.2009067999988,19,3.4210526315789473,0.0
M1,VRE120_wind_hvy,12,45.0,10285.422772799982,610.0370979999998,15,3.0,0.0
M1,VRE120_wind_hvy,13,44.0,13048.291331999979,863.3098683999997,16,2.75,0.0
