scenario_id,event_start_hour,event_end_hour,event_duration_h,pre_storage_eue_mwh,event_peak_shortfall_mw,storage_power_mw,storage_energy_mwh,usable_initial_soc_mwh,feasible_charge_before_event_mwh,feasible_discharge_energy_mwh,feasible_discharge_power_limited_mwh,storage_coverage_bound_mwh,residual_eue_bound_mwh,case
8,4864,4868,5,1637.2607967999984,576.0678031999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1637.2607967999984,1637.2607967999984,0.0,VRE120_base
8,4891,4891,1,16.359492399999,16.359492399999,983.0,3932.0,1966.0,3932.0,3730.2227279346203,16.359492399999,16.359492399999,0.0,VRE120_base
8,4912,4915,4,608.8901983999986,248.07083479999983,983.0,3932.0,1966.0,3932.0,3730.2227279346203,608.8901983999986,608.8901983999986,0.0,VRE120_base
8,4935,4941,7,2791.774948399996,662.9972675999998,983.0,3932.0,1966.0,3932.0,3730.2227279346203,2791.774948399996,2791.774948399996,0.0,VRE120_base
8,4961,4965,5,1516.4627619999983,538.277386400001,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1516.4627619999983,1516.4627619999983,0.0,VRE120_base
8,4984,4989,6,3404.825198399996,822.4009067999987,983.0,3932.0,1966.0,3932.0,3730.2227279346203,3404.825198399996,3404.825198399996,0.0,VRE120_base
8,5006,5012,7,2860.7727032000003,576.0900187999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,2860.7727032000003,2860.7727032000003,0.0,VRE120_base
8,5031,5031,1,79.85566680000011,79.85566680000011,983.0,3932.0,1966.0,3932.0,3730.2227279346203,79.85566680000011,79.85566680000011,0.0,VRE120_base
8,5034,5035,2,302.58338559999993,195.39568240000062,983.0,3932.0,1966.0,3932.0,3730.2227279346203,302.58338559999993,302.58338559999993,0.0,VRE120_base
8,5057,5060,4,858.4378827999981,294.3393583999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,858.4378827999981,858.4378827999981,0.0,VRE120_base
8,5226,5226,1,63.63549239999975,63.63549239999975,983.0,3932.0,1966.0,3932.0,3730.2227279346203,63.63549239999975,63.63549239999975,0.0,VRE120_base
8,5346,5346,1,12.154826399999365,12.154826399999365,983.0,3932.0,1966.0,3932.0,3730.2227279346203,12.154826399999365,12.154826399999365,0.0,VRE120_base
8,5391,5394,4,585.3806575999988,279.76427319999857,983.0,3932.0,1966.0,3932.0,3730.2227279346203,585.3806575999988,585.3806575999988,0.0,VRE120_base
8,5414,5417,4,1691.1695079999954,567.3098683999997,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1691.1695079999954,1691.1695079999954,0.0,VRE120_base
