case,scenario_id,pre_storage_eue_mwh,residual_eue_bound_mwh,storage_sufficiency_ratio,m1c_eue_mwh,m2_eue_mwh,m3_eue_mwh,bound_minus_m3_mwh,m1c_minus_m3_mwh,m2_minus_m3_mwh
VRE120_base_ls1p25,5,115170.95285125004,35460.716887338436,0.692103642372934,35460.71688733844,35460.71688733844,35460.71688733844,-7.275957614183426e-12,0.0,0.0
VRE120_base_ls1p25,6,90378.40647250004,21865.56087657693,0.7580665367979231,21865.560876576918,21865.560876576914,21865.560876576914,1.4551915228366852e-11,3.637978807091713e-12,0.0
VRE120_base_ls1p25,7,85903.84156625005,15039.832114403835,0.8249224733121517,15039.832114403824,15039.83211440382,15039.83211440382,1.4551915228366852e-11,3.637978807091713e-12,0.0
VRE120_base_ls1p25,8,72393.15202750005,6277.411622011539,0.9132872178348177,6277.4116220115275,6277.411622011523,6277.411622011523,1.6370904631912708e-11,4.547473508864641e-12,0.0
VRE120_base_ls1p25,9,50026.35403750004,1854.2870799461525,0.9629337952840583,1854.2870799461498,1854.287079946147,1854.2870799461473,5.229594535194337e-12,2.5011104298755527e-12,-2.2737367544323206e-13
VRE120_base_ls1p25,10,61595.43942625004,3038.5296678269224,0.9506695674853487,3038.529667826915,3038.5296678269124,3038.5296678269124,1.000444171950221e-11,2.7284841053187847e-12,0.0
VRE120_base_ls1p25,11,95594.07879250005,17928.88829440385,0.812447710978826,17928.88829440382,17928.88829440382,17928.888294403823,2.546585164964199e-11,-3.637978807091713e-12,-3.637978807091713e-12
VRE120_base_ls1p25,12,59817.58043625005,3526.1027595115593,0.9410524007524934,3526.102759511531,3526.10275951153,3526.1027595115297,2.955857780762017e-11,1.3642420526593924e-12,4.547473508864641e-13
VRE120_base_ls1p25,13,72794.60971625005,6758.997118642306,0.9071497581347223,6758.997118642292,6758.997118642288,6758.997118642288,1.8189894035458565e-11,3.637978807091713e-12,0.0
VRE120_base_ls1p25,14,54601.24963500004,6424.444941196147,0.8823388661588799,6424.444941196145,6424.4449411961505,6424.4449411961505,-3.637978807091713e-12,-5.4569682106375694e-12,0.0
VRE120_base_ls1p25,15,92351.38863000004,29998.464378588447,0.6751704027020602,29998.46437858844,29998.46437858844,29998.46437858844,7.275957614183426e-12,0.0,0.0
VRE120_base_ls1p25,16,68196.21049250005,4657.042967826914,0.9317111180490142,4657.042967826908,4657.042967826906,4657.042967826906,8.185452315956354e-12,2.7284841053187847e-12,0.0
VRE120_base_ls1p25,17,52505.46300250004,2206.043936196147,0.9579844875172112,2206.04393619615,2206.04393619615,2206.043936196149,-1.8189894035458565e-12,9.094947017729282e-13,9.094947017729282e-13
VRE120_base_ls1p25,18,84386.49909500005,13192.294199457683,0.8436681893319671,13192.294199457676,13192.294199457676,13192.294199457674,9.094947017729282e-12,1.8189894035458565e-12,1.8189894035458565e-12
VRE120_base_ls1p25,19,76483.71433875005,7778.947384457686,0.8982927613844125,7778.947384457674,7778.947384457677,7778.947384457675,1.0913936421275139e-11,-9.094947017729282e-13,1.8189894035458565e-12
VRE120_base_ls1p25,20,84745.95446375007,6689.7115869576955,0.9210615818856673,6689.7115869576755,6689.7115869576755,6689.7115869576755,2.000888343900442e-11,0.0,0.0
VRE120_base_pwr0p5x,1,29464.531872399966,8654.731640563448,0.7062661073984171,8654.731640563445,8654.731640563437,8654.731640563437,1.0913936421275139e-11,7.275957614183426e-12,0.0
VRE120_base_pwr0p5x,2,40276.92264119996,10792.750149028823,0.7320363761359282,10792.750149028812,10792.750149028805,10792.750149028809,1.4551915228366852e-11,3.637978807091713e-12,-3.637978807091713e-12
