model,case,scenario_id,eue_mwh,lolh_h
M2,VRE120_base_dur8h,11,126.23800479999954,2
M2,VRE120_base_dur8h,12,0.0,0
M2,VRE120_base_dur8h,13,0.0,0
M2,VRE120_base_dur8h,14,0.0,0
M2,VRE120_base_dur8h,15,1964.9060367999982,6
M2,VRE120_base_dur8h,16,63.42909079999845,2
M2,VRE120_base_dur8h,17,0.0,0
M2,VRE120_base_dur8h,18,574.2569795999971,5
M2,VRE120_base_dur8h,19,0.0,0
M2,VRE120_base_dur8h,20,0.0,0
M3,VRE120_base_dur8h,1,113.91124999999829,2
M3,VRE120_base_dur8h,2,64.40090679999958,1
M3,VRE120_base_dur8h,3,93.79773159999968,1
M3,VRE120_base_dur8h,4,1059.614011999999,8
M3,VRE120_base_dur8h,5,1404.8676487999937,13
M3,VRE120_base_dur8h,6,1720.1353115999946,9
M3,VRE120_base_dur8h,7,0.0,0
M3,VRE120_base_dur8h,8,0.0,0
M3,VRE120_base_dur8h,9,0.0,0
M3,VRE120_base_dur8h,10,0.0,0
M3,VRE120_base_dur8h,11,126.23800479999954,2
M3,VRE120_base_dur8h,12,0.0,0
M3,VRE120_base_dur8h,13,0.0,0
M3,VRE120_base_dur8h,14,0.0,0
M3,VRE120_base_dur8h,15,1964.9060367999982,6
M3,VRE120_base_dur8h,16,63.42909079999845,2
M3,VRE120_base_dur8h,17,0.0,0
M3,VRE120_base_dur8h,18,574.2569795999971,5
M3,VRE120_base_dur8h,19,0.0,0
M3,VRE120_base_dur8h,20,0.0,0
M1c,VRE120_base_ls1p225,1,6177.760721411551,13
M1c,VRE120_base_ls1p225,2,6787.353397401935,17
M1c,VRE120_base_ls1p225,3,8398.333665151935,19
M1c,VRE120_base_ls1p225,4,15772.07177608271,27
M1c,VRE120_base_ls1p225,5,21530.431535138483,40
M1c,VRE120_base_ls1p225,6,14385.441439051945,27
M1c,VRE120_base_ls1p225,7,5531.515358336546,11
M1c,VRE120_base_ls1p225,8,1752.1757332211582,7
M1c,VRE120_base_ls1p225,9,0.0,0
M1c,VRE120_base_ls1p225,10,173.19376340000235,2
M1c,VRE120_base_ls1p225,11,9579.755905901933,22
M1c,VRE120_base_ls1p225,12,454.62918734038794,2
M1c,VRE120_base_ls1p225,13,2018.3035245461533,11
M1c,VRE120_base_ls1p225,14,2731.4583321057717,5
M1c,VRE120_base_ls1p225,15,17734.969204882713,28
M1c,VRE120_base_ls1p225,16,1410.8032287903834,5
M1c,VRE120_base_ls1p225,17,0.0,0
M1c,VRE120_base_ls1p225,18,6348.367471396162,14
M1c,VRE120_base_ls1p225,19,1337.201104871153,9
M1c,VRE120_base_ls1p225,20,1584.231132055772,6
M2,VRE120_base_ls1p225,1,6177.760721411547,14
M2,VRE120_base_ls1p225,2,6787.353397401932,16
M2,VRE120_base_ls1p225,3,8398.333665151938,22
M2,VRE120_base_ls1p225,4,15772.07177608271,32
M2,VRE120_base_ls1p225,5,21530.431535138483,44
M2,VRE120_base_ls1p225,6,14385.441439051941,22
M2,VRE120_base_ls1p225,7,5531.515358336544,13
M2,VRE120_base_ls1p225,8,1752.1757332211564,5
M2,VRE120_base_ls1p225,9,0.0,0
M2,VRE120_base_ls1p225,10,173.19376340000235,2
